Question,Answer
What does FTKEK stand for?,FTKEK stands for Fakulti Teknologi dan Kejuruteraan Elektronik dan Komputer (Faculty of Electronic and Computer Technology and Engineering).
Where is FTKEK located?,FTKEK is located at Universiti Teknikal Malaysia Melaka (UTeM) main campus at Durian Tunggal.
What is the general contact email for FTKEK?,The general contact email is ftkek@utem.edu.my.
What is the general phone number for FTKEK?,The general phone number is +606-270 1897.
How long is the Bachelor of Computer Engineering (BERR) program?,"The BERR program duration is 4 years (8 semesters), including industrial training."
What are the career paths for Computer Engineering (BERR) graduates?,"Career paths include Embedded Systems, System on Chip (SoC), and Computational Intelligence."
What is the focus of the BERR Immersive Learning Project?,"The project focuses on the 3 main elements of IoT: Nodes, Cloud, and Gateway, carried out across 3 semesters."
What are the main departments in FTKEK?,"The departments are Electronic Engineering, Computer Engineering, Engineering Technology, and Technology Department."
What is the Vision of FTKEK?,The Vision of FTKEK is to be a Leading Global Academic in Technology and Engineering specializing in Electronics and Computer fields.
What is the Mission of FTKEK?,"FTKEK's mission is to foster knowledge through innovative education, cultivate ethical leaders, and drive sustainable development through industry partnerships."
What is the Motto of FTKEK?,"The motto of FTKEK is ""Forging Excellence Together""."
What are the main educational goals of FTKEK?,"The goals include producing graduates with technical competency, soft skills, and social responsibility, while cultivating critical thinking and problem-solving abilities."
Does FTKEK have postgraduate programs?,"Yes, FTKEK offers Masters degrees (taught-course and research modes) and Doctoral degrees (PhD and DEng)."
"What is the ""digitalfkekk"" platform?",digitalfkekk is a communication platform for the FTKEK academic community to help students find PSM research topics and Diploma projects.
What is the code for the Robotic & Automation Lab?,The code for the Robotic & Automation Lab is ME17.
Where is the Power Systems Lab located?,The Power Systems Lab (Makmal Sistem Kuasa) is located in room E/Gâ€“2.
What facility is available for Pneumatics and Hydraulics study?,"Students can use the Pneumatic & Hydraulic Lab (Makmal Pneumatik & Hidraulik), code ME18."
Is there a specific lab for Microwave study?,"Yes, the Microwave Lab is one of the facilities available at the Technology Campus."
What is the code for the Microprocessor Lab?,The code for the Microprocessor Lab (Makmal Mikropemproses) is ME14.
Where can I find the Electronic Workshop?,The Electronic Workshop is located at the Technology Campus.
What is the function of the Laman Hikmah Library?,"Laman Hikmah Library provides engineering materials, subscribed databases, and discussion rooms for students."
Does UTeM provide bus transportation?,"Yes, UTeM provides shuttle buses between the Main Campus and Technology Campus from 6:00 a.m. to 11:00 p.m. on weekdays."
What sports facilities are available for students?,"Facilities include rugby halls, soccer fields, hockey fields, tennis courts, and a netball rink."
What is the code for Industrial Training?,The code for Industrial Training is BERU4786 or BERU4796.
Who handles the Industrial Training registration?,The Faculty Administration Unit oversees program registration and industrial training matters.
How do I find a supervisor for my PSM project?,Students can use the digitalfkekk platform to view offered research topics and find supervisors.
What is the BERR Immersive Learning Project?,"It is a project focusing on IoT elements (Nodes, Cloud, Gateway) carried out across three semesters."
Does the BERR program include soft skills?,"Yes, the program is designed to sharpen communication, leadership, and entrepreneurial abilities."
Is the Bachelor of Electronic Engineering (BERG) accredited?,"Yes, the BERG program is accredited by the Engineering Accreditation Council (EAC)."
What is the contact email for the Engineering Technology department?,"You can reach the staff via their specific emails, for example, abdulhalim@utem.edu.my for the Head of Department."
What is the fax number for FTKEK?,The fax number is +606-270 1044.
Where is the Chancellery Building located?,The Chancellery Building is at the Main Campus and houses the Registrar and Bursary.
Are there medical facilities on campus?,"Yes, UTeM has a University Health Centre that provides outpatient and emergency treatment"
where does UTeM clinic located?,"UTeM PKU is Located at the Main Campus, which is at the Durian Tunggal."
What is the JTEC journal?,"JTEC (Journal of Telecommunication, Electronic and Computer Engineering) is the official research journal of FTKEK."
what programmes does ftkek offer?,"Are you looking for Diplomas, Degree, Master's degree, or PhD?"
what diploma programmes are available at ftkek?,FTKEK offers the Diploma in Electronics Engineering (DER).
